node,x,y,latitude,longitude
8219471,446710,4399798.5,39.7464255,-123.622002
8277881,443005,4399783.5,39.7460506,-123.665243
8302802,443080,4399777.5,39.7460015,-123.664367
8316115,443970,4399774.5,39.7460335,-123.65398
8326411,445984,4399772.5,39.7461455,-123.630474
8334541,445832,4399770.5,39.7461179,-123.632248
8429447,445495,4399747.5,39.7458892,-123.636179
8460246,443166,4399739.5,39.7456649,-123.66336
8501788,443298,4399729.5,39.7455836,-123.661819
8555394,443071,4399716.5,39.7454514,-123.664467
8573436,444549,4399712.5,39.7455128,-123.647217
8581375,444206,4399710.5,39.7454724,-123.65122
8626969,444249,4399699.5,39.7453761,-123.650717
8641333,446190,4399696.5,39.7454738,-123.628063
8651680,444114,4399693.5,39.7453132,-123.652292
8659235,443387,4399691.5,39.7452472,-123.660777
8664203,444214,4399690.5,39.7452927,-123.651125
8672880,444609,4399688.5,39.7453005,-123.646515
8697470,444353,4399682.5,39.7452297,-123.649502
8704238,446980,4399681.5,39.7453882,-123.618842
8759798,444566,4399667.5,39.7451085,-123.647015
8812751,443686,4399654.5,39.7449336,-123.657284
8939805,446510,4399624.5,39.7448453,-123.624323
8940536,443100,4399623.5,39.7446154,-123.664121
8960661,446661,4399619.5,39.7448097,-123.62256
8965231,447090,4399618.5,39.7448274,-123.617553
8967661,445379,4399617.5,39.7447105,-123.637522
8979191,444486,4399614.5,39.7446257,-123.647944
8997571,446302,4399610.5,39.7447061,-123.626749
9008219,444527,4399607.5,39.7445653,-123.647465
9011179,443346,4399606.5,39.7444786,-123.661248
9047191,446230,4399598.5,39.7445934,-123.627588
9047703,446742,4399598.5,39.7446256,-123.621613
9059619,446235,4399595.5,39.7445667,-123.62753
9088941,446570,4399588.5,39.7445247,-123.623619
9092034,445522,4399587.5,39.7444493,-123.63585
9106995,443919,4399583.5,39.7443093,-123.654559
9154636,446009,4399572.5,39.7443452,-123.630165
9176304,446972,4399567.5,39.7443606,-123.618926
9209000,446540,4399559.5,39.7442615,-123.623967
9224935,445911,4399555.5,39.7441858,-123.631308
9225915,446891,4399555.5,39.7442475,-123.61987
9248323,444453,4399549.5,39.744038,-123.648324
9272383,443667,4399543.5,39.7439323,-123.657496
9276263,443406,4399542.5,39.743906,-123.660542
9289733,444453,4399539.5,39.7439479,-123.648323
9290019,444739,4399539.5,39.7439665,-123.644985
9310998,445013,4399534.5,39.7439391,-123.641787
9316418,446292,4399533.5,39.7440117,-123.626859
9346568,443314,4399525.5,39.7437467,-123.661615
9386121,445598,4399516.5,39.7438145,-123.634958
9395038,446233,4399514.5,39.7438368,-123.627546
9412716,443206,4399509.5,39.7435954,-123.662874
9416503,446993,4399509.5,39.7438394,-123.618676
9417640,443989,4399508.5,39.7436382,-123.653735
9420993,443201,4399507.5,39.743577,-123.662932
9486983,447076,4399492.5,39.7436914,-123.617706
9503812,443200,4399487.5,39.7433968,-123.662942
9505589,444977,4399487.5,39.7435134,-123.642203
9506433,445821,4399487.5,39.7435674,-123.632353
9523865,446689,4399483.5,39.7435861,-123.622222
9585415,446124,4399468.5,39.7434155,-123.628815
9610451,446314,4399462.5,39.7433734,-123.626597
9630845,446003,4399457.5,39.7433087,-123.630226
9640941,443676,4399454.5,39.743131,-123.657384
9670972,444720,4399447.5,39.7431363,-123.645199
9719664,443720,4399435.5,39.7429628,-123.656869
9720747,444803,4399435.5,39.7430336,-123.644229
9729154,444928,4399433.5,39.7430237,-123.64277
9742512,445863,4399430.5,39.7430566,-123.631858
9749215,444284,4399428.5,39.7429368,-123.650286
9765248,443753,4399424.5,39.7428658,-123.656483
9777335,443417,4399421.5,39.7428166,-123.660404
9787962,445762,4399419.5,39.742951,-123.633036
9799258,444635,4399416.5,39.7428515,-123.646188
9819800,444472,4399411.5,39.7427959,-123.64809
9825420,445951,4399410.5,39.742882,-123.630829
9826544,447075,4399410.5,39.7429525,-123.617711
9855794,443197,4399402.5,39.7426308,-123.66297
9858308,445711,4399402.5,39.7427946,-123.633629
9861631,444893,4399401.5,39.7427331,-123.643176
9867697,446818,4399400.5,39.7428464,-123.62071
9882640,445197,4399396.5,39.7427077,-123.639628
9898413,444406,4399392.5,39.7426204,-123.648859
9898637,444630,4399392.5,39.742635,-123.646245
